,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
130,50.5,5.033,126.6,5.8463,242.8070422941084,-1.0,-1.0,-1.0,0.0,0.0
131,45.73,9.238,90.0,4.71012,240.63785048655282,-1.0,-1.0,-1.0,0.0,0.0
132,46.11,11.547,90.0,5.22462,230.40267574765207,-1.0,-1.0,-1.0,0.0,0.0
133,35.9,1.155,30.0,5.82001,236.2333166783775,-1.0,-1.0,-1.0,0.0,0.0
134,54.16,8.327,136.1,5.9173,221.04547708304395,-1.0,-1.0,-1.0,0.0,0.0
135,24.24,3.464,90.0,5.86897,203.87463559612618,-1.0,-1.0,-1.0,0.0,0.0
136,40.14,5.033,6.6,5.89223,205.06392494021392,-1.0,-1.0,-1.0,0.0,0.0
137,14.6,3.464,90.0,5.01916,200.51569862463393,-1.0,-1.0,-1.0,0.0,0.0
138,29.77,3.464,90.0,5.53552,200.51569862463393,-1.0,-1.0,-1.0,0.0,0.0
139,24.24,3.464,90.0,5.86897,197.15817506317737,-1.0,-1.0,-1.0,0.0,0.0
140,54.84,10.392,90.0,5.91709,190.4632692623428,-1.0,-1.0,-1.0,0.0,0.0
141,53.92,6.429,21.1,5.87938,195.62717575696314,-1.0,-1.0,-1.0,0.0,0.0
142,52.91,8.083,90.0,5.59361,181.58765307698758,-1.0,-1.0,-1.0,0.0,0.0
143,36.03,11.719,39.8,5.9167,187.579915134791,-1.0,-1.0,-1.0,0.0,0.0
144,52.91,1.155,90.0,5.59361,174.9663145607007,-1.0,-1.0,-1.0,0.0,0.0
145,25.0,12.0,120.0,5.18043,168.35147254554548,-1.0,-1.0,-1.0,0.0,0.0
146,47.65,16.166,90.0,5.85218,166.7456885548987,-1.0,-1.0,-1.0,0.0,0.0
147,38.15,8.327,43.9,5.26147,160.66715050558153,-1.0,-1.0,-1.0,0.0,0.0
148,51.5,38.105,90.0,5.2763,135.18814960085942,-1.0,-1.0,-1.0,0.0,0.0
149,60.7,35.572,141.9,5.84981,136.7635048614658,-1.0,-1.0,-1.0,0.0,0.0
150,57.64,7.024,4.7,5.81598,116.71170575885188,-1.0,-1.0,-1.0,0.0,0.0
151,51.66,10.0,180.0,4.76413,84.35762604585678,-1.0,-1.0,-1.0,0.0,0.0
152,40.48,31.177,90.0,5.75433,63.62764122395898,-1.0,-1.0,-1.0,0.0,0.0
153,42.63,26.558,150.0,5.73904,51.88992687408698,-1.0,-1.0,-1.0,0.0,0.0
154,33.35,1.155,90.0,5.87513,66.88608260563205,-1.0,-1.0,-1.0,0.0,0.0
155,49.0,9.165,10.9,5.08731,62.04919595993816,-1.0,-1.0,-1.0,0.0,0.0
156,19.5,13.013,122.5,5.8257,65.81880712074721,-1.0,-1.0,-1.0,0.0,0.0
157,19.5,8.718,23.4,4.98765,60.79691950980124,-1.0,-1.0,-1.0,0.0,0.0
158,48.56,12.166,154.7,3.9532,68.84984223172695,-1.0,-1.0,-1.0,0.0,0.0
159,18.46,19.079,54.8,3.74032,75.14945700560908,-1.0,-1.0,-1.0,0.0,0.0
160,44.65,13.856,90.0,5.78141,126.20277421408552,-1.0,-1.0,-1.0,0.0,0.0
161,51.06,11.015,3.0,5.20681,116.99666375693623,-1.0,-1.0,-1.0,0.0,0.0
162,35.93,5.292,19.1,5.73585,130.38067389655015,-1.0,-1.0,-1.0,0.0,0.0
163,34.29,34.641,90.0,4.08385,190.78625547836032,-1.0,-1.0,-1.0,0.0,0.0
164,8.81,15.621,153.7,5.84884,175.055384511004,-1.0,-1.0,-1.0,0.0,0.0
165,45.03,14.189,9.4,5.87267,204.35768452793553,-1.0,-1.0,-1.0,0.0,0.0
166,11.03,4.163,16.1,5.78715,241.57920432978494,-1.0,-1.0,-1.0,0.0,0.0
167,12.28,2.0,180.0,1.70268,272.18792899403263,-1.0,-1.0,-1.0,0.0,0.0
168,16.88,9.866,24.2,5.91033,314.4626647577891,-1.0,-1.0,-1.0,0.0,0.0
169,33.61,24.249,90.0,3.78087,357.3806107382918,-1.0,-1.0,-1.0,0.0,0.0
170,56.27,11.136,171.1,5.86962,345.0737495527355,-1.0,-1.0,-1.0,0.0,0.0
171,52.73,1.155,30.0,4.49045,369.21281219247066,-1.0,-1.0,-1.0,0.0,0.0
172,45.8,8.718,156.6,5.73519,417.34379807718807,-1.0,-1.0,-1.0,0.0,0.0
173,34.53,13.856,90.0,5.44514,423.1967163819338,-1.0,-1.0,-1.0,0.0,0.0
174,25.23,11.015,24.8,4.98131,427.138572310531,-1.0,-1.0,-1.0,0.0,0.0
175,26.48,5.033,66.6,4.76401,238.39651280859528,-1.0,-1.0,-1.0,0.0,0.0
176,40.24,10.0,180.0,3.78536,235.08344883877191,-1.0,-1.0,-1.0,0.0,0.0
177,20.8,10.0,60.0,5.90937,364.0464789011033,-1.0,-1.0,-1.0,0.0,0.0
178,49.37,34.487,170.4,4.53212,369.2223776969509,-1.0,-1.0,-1.0,0.0,0.0
179,13.97,22.301,79.7,5.62518,380.23348919356164,-1.0,-1.0,-1.0,0.0,0.0
180,40.58,6.429,141.0,4.06072,367.03805187268273,-1.0,-1.0,-1.0,0.0,0.0
181,25.45,14.422,133.9,5.67526,276.0430048390517,-1.0,-1.0,-1.0,0.0,0.0
182,32.76,3.055,49.1,5.82484,270.57436089526345,-1.0,-1.0,-1.0,0.0,0.0
183,46.34,5.033,6.6,5.67517,240.07810310842004,-1.0,-1.0,-1.0,0.0,0.0
184,40.97,6.11,130.9,5.89241,242.28923832028693,-1.0,-1.0,-1.0,0.0,0.0
185,40.44,10.583,40.9,5.02786,236.06858438130624,-1.0,-1.0,-1.0,0.0,0.0
186,47.71,17.474,73.4,4.81006,260.2848468665672,-1.0,-1.0,-1.0,0.0,0.0
187,36.33,13.317,154.3,4.49367,270.7999809277648,-1.0,-1.0,-1.0,0.0,0.0
188,29.02,13.317,85.7,5.7852,210.97803208392418,-1.0,-1.0,-1.0,0.0,0.0
189,22.72,8.718,96.6,4.60602,200.21485421229835,-1.0,-1.0,-1.0,0.0,0.0
190,49.17,15.621,146.3,5.73813,129.57661420459115,-1.0,-1.0,-1.0,0.0,0.0
191,49.17,40.0,180.0,5.75211,125.6717916951155,-1.0,-1.0,-1.0,0.0,0.0
192,36.4,7.211,46.1,5.2981,124.89050692610579,-1.0,-1.0,-1.0,0.0,0.0
193,60.38,15.1,113.4,5.32334,408.11736116190485,-1.0,-1.0,-1.0,0.0,0.0
194,41.54,9.165,10.9,4.80572,415.82064354556815,-1.0,-1.0,-1.0,0.0,0.0
195,25.88,6.429,39.0,4.81585,392.6890770042307,-1.0,-1.0,-1.0,0.0,0.0
196,49.88,16.371,47.8,5.64673,221.98937235014415,-1.0,-1.0,-1.0,0.0,0.0
197,52.95,6.0,120.0,5.20621,192.84482958107344,-1.0,-1.0,-1.0,0.0,0.0
198,39.15,36.46,170.9,5.33363,153.88240927430937,-1.0,-1.0,-1.0,0.0,0.0
199,39.15,19.425,12.0,4.98137,148.39093221775704,-1.0,-1.0,-1.0,0.0,0.0
200,37.16,11.015,63.0,5.87353,353.9030788728824,-1.0,-1.0,-1.0,0.0,0.0
201,18.36,12.858,39.0,4.55272,354.390925360348,-1.0,-1.0,-1.0,0.0,0.0
202,59.75,15.535,104.9,5.76705,356.69398347504995,-1.0,-1.0,-1.0,0.0,0.0
203,59.75,8.0,60.0,5.84949,345.61227830561467,-1.0,-1.0,-1.0,0.0,0.0
204,34.85,8.0,180.0,5.82095,363.98598276531123,-1.0,-1.0,-1.0,0.0,0.0
205,32.66,21.166,160.9,3.73217,337.40631055827805,-1.0,-1.0,-1.0,0.0,0.0
206,52.95,26.153,36.6,5.07037,117.62441171250045,-1.0,-1.0,-1.0,0.0,0.0
207,51.93,17.474,133.4,5.88592,106.52981764273618,-1.0,-1.0,-1.0,0.0,0.0
208,33.14,2.0,60.0,5.82386,240.506742513439,-1.0,-1.0,-1.0,0.0,0.0
209,34.4,6.0,120.0,5.90749,236.8239931906722,-1.0,-1.0,-1.0,0.0,0.0
210,48.49,6.429,158.9,5.90997,244.5897753452091,-1.0,-1.0,-1.0,0.0,0.0
211,59.59,7.572,97.6,5.88661,247.74059921815004,-1.0,-1.0,-1.0,0.0,0.0
212,7.19,45.826,49.1,5.88269,399.16073246160704,-1.0,-1.0,-1.0,0.0,0.0
213,38.9,6.11,109.1,4.06038,421.3305947879968,-1.0,-1.0,-1.0,0.0,0.0
214,27.07,52.548,162.1,5.86322,176.02909487267675,-1.0,-1.0,-1.0,0.0,0.0
215,48.38,12.0,120.0,5.80966,56.5598115906927,-1.0,-1.0,-1.0,0.0,0.0
216,45.25,21.385,49.1,4.73762,48.240737458942775,-1.0,-1.0,-1.0,0.0,0.0
217,59.4,7.211,46.1,4.88911,248.23493335396472,-1.0,-1.0,-1.0,0.0,0.0
