,phi1_right,PHI_right,phi2_right,phi1_left,PHI_left,phi2_left,misorientation,mis_x_right,mis_y_right,mis_z_right,mis_x_left,mis_y_left,mis_z_left,Length,Trace,x_start,y_start,x_end,y_end,gbID_right,gbID_left,Sigma,Distance_Center,Void_id,x_junction,y_junction,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
17188,2.671,0.471,3.912,0.944,0.071,4.851,51.83,-16.0,4.0,25.0,-16.0,4.0,25.0,22.301,139.7,691.0,246.53,708.0,260.96,701.0,955.0,5.81845,11.171285058038936,19.0,-1.0,-1.0,-1.0,0.0,0.0,1,1.0
17701,3.918,0.714,2.76,2.562,0.704,3.926,43.91,-2.0,9.0,1.0,-2.0,9.0,1.0,20.298,9.8,810.0,642.01,830.0,638.55,2293.0,2150.0,5.83269,10.328806869641062,7.0,833.3362723404255,637.2801640625,4.083947908038502,2.0,0.2215437672682205,1,1.0
17728,0.484,0.638,6.056,0.063,0.756,6.071,24.43,-5.0,7.0,9.0,-5.0,7.0,9.0,9.165,109.1,820.0,212.46,823.0,221.13,560.0,578.0,5.829,16.80443587737838,21.0,826.9755319148935,242.96032714843702,22.6039371730193,2.0,0.6818429491483583,1,0.8
17759,2.562,0.704,3.926,2.628,0.564,3.904,8.53,-7.0,12.0,-3.0,-7.0,12.0,-3.0,8.0,60.0,826.0,629.31,830.0,622.38,2150.0,2224.0,5.20906,10.328806869641062,7.0,-1.0,-1.0,-1.0,0.0,0.38102648088856034,1,1.0
17781,6.155,0.473,6.067,5.714,0.567,0.194,13.63,-11.0,25.0,-3.0,-11.0,25.0,-3.0,6.11,10.9,830.0,241.33,836.0,240.18,811.0,812.0,5.68987,10.794156996637227,21.0,-1.0,-1.0,-1.0,0.0,0.16161942730443934,1,1.0
17785,6.052,0.415,6.146,5.714,0.567,0.194,12.65,-19.0,21.0,-4.0,-19.0,21.0,-4.0,8.718,156.6,831.0,245.37,839.0,248.84,924.0,812.0,5.85607,13.47544494105118,21.0,826.9755319148935,242.96032714843744,3.755989047765949,2.0,0.23145632343609676,1,0.9
17805,0.675,0.793,5.33,5.948,0.434,0.03,37.9,1.0,22.0,-4.0,1.0,22.0,-4.0,32.393,153.5,834.0,255.19,863.0,269.62,1001.0,1083.0,5.73458,22.74860256838746,21.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.8
17820,2.562,0.704,3.926,4.846,0.479,1.544,46.0,-17.0,-20.0,-7.0,-17.0,-20.0,-7.0,23.352,70.0,839.0,624.12,847.0,602.18,2150.0,2151.0,5.80777,6.926824406912382,7.0,833.3362723404255,637.2801640625,14.787142117614488,2.0,0.9049533857670237,1,1.0
17890,3.395,0.748,3.083,3.768,0.342,2.869,26.25,-27.0,8.0,-7.0,-27.0,8.0,-7.0,26.026,177.5,850.0,448.02,876.0,449.18,1706.0,1793.0,5.34417,16.672985070732864,15.0,-1.0,-1.0,-1.0,0.0,0.045410347552011614,1,0.5
17900,4.208,0.267,2.038,3.768,0.342,2.869,25.03,8.0,-3.0,-23.0,8.0,-3.0,-23.0,21.385,10.9,855.0,453.22,876.0,449.18,1809.0,1793.0,5.39059,16.672985070732864,15.0,883.0723404255319,447.64225260416663,7.36798232308658,2.0,0.2553139794569116,1,0.5
17964,0.124,0.608,6.084,4.208,0.267,2.038,45.73,27.0,13.0,-4.0,27.0,13.0,-4.0,15.144,37.6,872.0,468.81,884.0,459.57,1835.0,1809.0,5.63405,15.493210304461556,15.0,-1.0,-1.0,-1.0,0.0,0.0876383894586829,1,0.8
17974,3.395,0.748,3.083,0.248,0.703,6.144,10.98,8.0,-9.0,-3.0,8.0,-9.0,-3.0,9.165,130.9,873.0,435.9,879.0,442.83,1706.0,1733.0,5.90008,14.062364777209826,15.0,883.0723404255319,447.64225260416674,6.349168841681,2.0,0.3135637345496803,1,1.0
17975,0.248,0.703,6.144,2.042,0.566,4.694,53.42,-17.0,-11.0,7.0,-17.0,-11.0,7.0,12.22,10.9,873.0,435.9,885.0,433.59,1733.0,1477.0,5.89512,15.763873553659213,15.0,-1.0,-1.0,-1.0,0.0,0.17309201653488251,1,0.7
18031,0.124,0.608,6.084,5.514,0.799,1.09,47.41,3.0,20.0,-19.0,3.0,20.0,-19.0,6.11,169.1,890.0,461.88,896.0,463.03,1835.0,1862.0,5.73365,14.78037768722736,15.0,895.8255319148935,462.49484592013886,0.3494187225187529,1.0,0.18453237356075872,1,0.9
18065,6.228,0.742,0.368,2.042,0.566,4.694,54.89,14.0,17.0,-12.0,14.0,17.0,-12.0,14.189,9.4,898.0,434.17,912.0,431.86,1730.0,1477.0,5.66202,14.380514363023844,15.0,-1.0,-1.0,-1.0,0.0,0.17005134055820964,1,1.0
18073,1.63,0.716,4.929,0.124,0.608,6.084,50.36,-19.0,23.0,4.0,-19.0,23.0,4.0,7.572,22.4,902.0,463.03,909.0,460.15,1859.0,1835.0,5.87337,18.06500460340516,15.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.4
18159,1.355,0.725,5.653,3.992,0.727,1.593,25.5,-14.0,18.0,-17.0,-14.0,18.0,-17.0,11.719,140.2,920.0,920.3,929.0,927.8,2845.0,2947.0,5.8983,13.898126916233311,0.0,-1.0,-1.0,-1.0,0.0,1.0,1,1.0
18160,1.355,0.725,5.653,3.992,0.727,1.593,25.5,-14.0,18.0,-17.0,-14.0,18.0,-17.0,38.158,5.2,929.0,927.8,967.0,924.34,2845.0,2947.0,5.91034,1.034042553191512,1.0,-1.0,-1.0,-1.0,0.0,0.6493481081546801,1,1.0
18278,0.021,0.57,6.256,5.373,0.219,1.146,31.62,25.0,7.0,-16.0,25.0,7.0,-16.0,33.407,8.9,950.0,250.57,983.0,245.37,926.0,647.0,4.42679,11.556889377740944,20.0,-1.0,-1.0,-1.0,0.0,0.11904300701466261,1,1.0
18330,3.407,0.486,2.922,0.021,0.57,6.256,31.23,23.0,-6.0,-1.0,23.0,-6.0,-1.0,28.355,42.2,962.0,264.43,983.0,245.37,927.0,926.0,5.8877,11.556889377740944,20.0,-1.0,-1.0,-1.0,0.0,0.11356924399627347,1,1.0
18366,3.992,0.727,1.593,1.355,0.725,5.653,25.5,17.0,14.0,-18.0,17.0,14.0,-18.0,9.866,24.2,969.0,924.34,978.0,920.3,2947.0,2845.0,5.21636,3.102127659574421,1.0,-1.0,-1.0,-1.0,0.0,0.1437415520934944,1,1.0
