,phi1_right,PHI_right,phi2_right,phi1_left,PHI_left,phi2_left,misorientation,mis_x_right,mis_y_right,mis_z_right,mis_x_left,mis_y_left,mis_z_left,Length,Trace,x_start,y_start,x_end,y_end,gbID_right,gbID_left,Sigma,Distance_Center,Void_id,x_junction,y_junction,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
3181,0.203,0.583,6.045,1.388,0.762,4.238,58.59,3.0,-21.0,-20.0,3.0,-21.0,-20.0,29.866,20.4,830.0,636.24,858.0,625.85,1411.0,1959.0,5.56173,26.998808361105304,4.0,862.0903502235471,624.1969105113636,4.610466493712515,1.0,0.09147750979588323,1.0,0.4
3267,3.442,0.632,3.116,3.394,0.443,2.763,25.1,-6.0,-2.0,13.0,-6.0,-2.0,13.0,7.024,115.3,841.0,581.39,844.0,587.74,1255.0,1301.0,4.36574,29.320771146883164,4.0,859.9811847988077,619.9831321022726,37.00436146041224,2.0,0.7342135210399254,1.0,0.2
3273,3.442,0.632,3.116,0.203,0.583,6.045,26.93,21.0,-18.0,5.0,21.0,-18.0,5.0,9.866,144.2,842.0,608.53,850.0,614.3,1255.0,1411.0,5.17426,22.99469977515385,4.0,859.9811847988077,619.9831321022727,12.286110029866567,2.0,0.36522280180641326,1.0,0.6
3277,3.394,0.443,2.763,3.465,0.603,3.041,21.61,10.0,5.0,-23.0,10.0,5.0,-23.0,12.858,141.0,843.0,581.39,853.0,589.47,1301.0,1302.0,5.91298,20.46336084199287,4.0,-1.0,-1.0,-1.0,0.0,0.11785187242844432,1.0,0.7
3278,3.465,0.603,3.041,4.814,0.755,0.963,53.25,6.0,-15.0,-11.0,6.0,-15.0,-11.0,12.0,180.0,843.0,581.39,855.0,581.39,1302.0,1120.0,5.90793,24.970324353354815,4.0,854.6772540983607,580.7578125,0.0,2.0,0.04916557381782755,1.0,0.5
3322,3.465,0.603,3.041,3.526,0.671,3.119,8.56,13.0,8.0,-25.0,13.0,8.0,-25.0,9.018,116.3,855.0,581.39,859.0,589.47,1302.0,1303.0,5.89797,15.978424373996933,4.0,854.6772540983607,580.7578125,0.0,2.0,0.17888684665247492,1.0,1.0
3335,1.388,0.762,4.238,5.119,0.537,1.958,59.16,-17.0,-17.0,-18.0,-17.0,-17.0,-18.0,35.851,93.2,859.0,626.43,861.0,662.22,1959.0,1673.0,5.88353,26.588234931257077,4.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.4
3401,3.55,0.759,3.122,3.545,0.614,3.054,9.26,-26.0,-2.0,13.0,-26.0,-2.0,13.0,8.0,120.0,884.0,611.99,888.0,618.92,1620.0,1697.0,5.87824,17.603669722467746,4.0,-1.0,-1.0,-1.0,0.0,0.15138109510789535,1.0,0.8
3413,0.034,0.838,0.057,3.55,0.759,3.122,18.55,1.0,-18.0,-14.0,1.0,-18.0,-14.0,15.621,146.3,886.0,605.06,899.0,613.72,1474.0,1620.0,5.87878,16.66182994671646,4.0,-1.0,-1.0,-1.0,0.0,0.16971843917051802,1.0,1.0
3432,0.034,0.838,0.057,3.392,0.674,3.518,31.52,-2.0,-23.0,-4.0,-2.0,-23.0,-4.0,8.327,163.9,893.0,592.94,901.0,595.25,1474.0,1166.0,5.87261,25.27658374464936,4.0,-1.0,-1.0,-1.0,0.0,0.009771796431464431,1.0,0.6
3531,0.586,0.438,5.592,0.216,0.258,6.227,20.54,6.0,9.0,-14.0,6.0,9.0,-14.0,15.1,6.6,916.0,473.43,931.0,471.7,787.0,917.0,5.8177,5.787037725844128,7.0,933.9105346497764,470.8897372159091,3.520242263771602,2.0,0.3960714609284857,1.0,1.0
3612,2.326,0.42,4.499,0.586,0.438,5.592,48.36,-21.0,7.0,18.0,-21.0,7.0,18.0,17.776,43.0,935.0,470.54,948.0,458.42,883.0,787.0,5.9031,5.1123046875,7.0,933.9105346497764,470.8897372159092,0.8227152345407035,2.0,0.1616839871720035,1.0,1.0
4045,5.814,0.336,6.006,5.872,0.441,5.958,6.17,-18.0,-10.0,-1.0,-18.0,-10.0,-1.0,6.429,98.9,9.0,626.43,10.0,632.78,1631.0,1614.0,5.84932,3.314152901821216,8.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
4102,5.872,0.441,5.958,5.652,0.595,6.066,11.77,-25.0,9.0,12.0,-25.0,9.0,12.0,13.317,85.7,27.0,644.9,28.0,631.62,1614.0,1624.0,5.85344,6.287109375,7.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
4103,5.838,1.182,0.997,2.776,0.782,3.849,55.73,-17.0,-16.0,-12.0,-17.0,-16.0,-12.0,9.866,95.8,27.0,664.53,28.0,674.35,1925.0,1909.0,5.86656,18.89391936690798,5.0,25.249270414624746,655.4348161604022,8.958046221086699,1.0,0.30973848307905927,1.0,0.8
4111,5.652,0.595,6.066,2.597,0.809,4.02,39.96,-7.0,17.0,-6.0,-7.0,17.0,-6.0,9.019,3.7,30.0,621.23,39.0,620.65,1624.0,1544.0,5.91088,4.687705183341432,7.0,-1.0,-1.0,-1.0,0.0,0.023122517654361373,1.0,1.0
4123,0.476,0.697,5.673,2.776,0.782,3.849,18.09,-16.0,-13.0,-4.0,-16.0,-13.0,-4.0,16.042,115.9,33.0,662.22,40.0,676.65,1689.0,1909.0,4.87611,19.335138350178358,5.0,28.726067136344795,653.5836245888157,8.511885727646343,3.0,0.2787691160207192,1.0,0.8
4145,0.265,0.416,6.256,4.146,0.503,1.902,53.64,20.0,16.0,11.0,20.0,16.0,11.0,27.154,92.1,39.0,685.31,40.0,712.45,1972.0,1937.0,5.88374,11.340091113399955,3.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
4146,3.192,0.66,3.127,5.652,0.595,6.066,51.52,7.0,-19.0,13.0,7.0,-19.0,13.0,11.719,20.2,40.0,635.09,51.0,631.04,1655.0,1624.0,3.81761,23.033914819875047,5.0,-1.0,-1.0,-1.0,0.0,0.051536244052952686,1.0,0.6
4169,0.476,0.697,5.673,3.192,0.66,3.127,28.06,-18.0,15.0,-19.0,-18.0,15.0,-19.0,17.32,30.0,43.0,647.21,58.0,638.55,1689.0,1655.0,5.80988,22.041732283464565,5.0,28.726067136344795,653.5836245888157,15.02038342714797,3.0,0.36592651268207316,1.0,0.6
4192,0.476,0.697,5.673,4.146,0.503,1.902,54.37,5.0,-6.0,5.0,5.0,-6.0,5.0,43.267,13.9,49.0,679.54,91.0,669.15,1689.0,1937.0,5.79628,4.449381588875484,3.0,42.217497812773416,680.5213758680555,6.250417890393194,1.0,0.6463341806353277,1.0,1.0
4611,1.642,0.684,5.225,3.369,0.438,3.036,59.65,17.0,17.0,16.0,17.0,17.0,16.0,39.004,142.6,166.0,364.89,197.0,388.56,989.0,895.0,4.57072,8.65442477131368,14.0,-1.0,-1.0,-1.0,0.0,0.6184245994953161,1.0,0.9
4656,2.645,0.541,3.655,1.642,0.684,5.225,52.53,-11.0,-6.0,-15.0,-11.0,-6.0,-15.0,13.856,30.0,174.0,402.99,186.0,396.06,1042.0,989.0,5.84566,5.644157683767291,14.0,-1.0,-1.0,-1.0,0.0,0.1269821962572306,1.0,1.0
4708,0.145,0.689,0.121,5.151,0.585,1.852,55.57,16.0,8.0,-15.0,16.0,8.0,-15.0,49.572,171.3,215.0,977.45,264.0,984.96,2685.0,2565.0,5.86709,11.302000915201509,1.0,276.2948842193542,985.8423111593935,12.98490049340835,2.0,0.6216864181891399,1.0,1.0
4732,2.645,0.541,3.655,3.369,0.438,3.036,20.01,-1.0,13.0,-1.0,-1.0,13.0,-1.0,8.083,30.0,198.0,389.13,205.0,385.09,1042.0,895.0,5.86281,9.50439566453974,14.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.9
4916,5.156,0.708,1.788,5.555,0.454,6.269,19.96,-16.0,-15.0,-7.0,-16.0,-15.0,-7.0,23.58,132.7,244.0,494.21,260.0,511.53,1187.0,1238.0,5.32941,7.409677816072548,11.0,262.260054852694,514.7541366748595,4.541074539483388,2.0,0.4206357424198633,1.0,1.0
4931,0.231,0.747,6.038,5.555,0.454,6.269,47.36,7.0,20.0,20.0,7.0,20.0,20.0,8.327,16.1,247.0,525.97,255.0,523.66,1290.0,1238.0,5.83215,7.564927504809435,11.0,-1.0,-1.0,-1.0,0.0,0.16632789165108863,1.0,1.0
4976,1.228,0.145,5.266,0.145,0.689,0.121,36.66,-24.0,7.0,-4.0,-24.0,7.0,-4.0,17.32,30.0,255.0,1010.94,270.0,1002.28,2812.0,2685.0,5.85599,14.254387876448506,1.0,277.04486268484726,997.8613757621952,8.265790270122558,2.0,0.3107439951173894,1.0,0.8
5009,5.156,0.708,1.788,0.231,0.747,6.038,49.81,20.0,13.0,-12.0,20.0,13.0,-12.0,8.327,163.9,269.0,516.73,277.0,519.04,1187.0,1290.0,5.88531,8.65442477131368,11.0,262.260054852694,514.7541366748595,6.695980828764813,2.0,0.4161947652598521,1.0,0.9
5041,0.774,0.743,5.411,1.228,0.145,5.266,38.72,18.0,13.0,-10.0,18.0,13.0,-10.0,8.327,136.1,280.0,999.97,286.0,1005.74,2640.0,2812.0,4.69877,12.664871697918848,1.0,277.04486268484726,997.8613757621952,2.797293306815436,2.0,0.1293215511579273,1.0,0.9
5050,0.774,0.743,5.411,5.151,0.585,1.852,40.24,-19.0,-20.0,7.0,-19.0,-20.0,7.0,9.866,35.8,285.0,979.76,293.0,973.99,2640.0,2565.0,5.40154,13.432754138479307,1.0,276.2948842193542,985.8423111593935,10.179401708414593,2.0,0.3859287530938944,1.0,0.9
5726,4.034,0.7,1.858,3.613,0.292,2.767,39.46,-3.0,-11.0,-13.0,-3.0,-11.0,-13.0,14.189,129.4,457.0,634.51,466.0,645.48,1580.0,1675.0,5.89619,9.676131233050887,4.0,473.3724409448819,657.0029296875,14.260583335728933,2.0,0.7840495463040859,1.0,1.0
5728,3.428,0.203,2.468,3.613,0.292,2.767,27.96,2.0,3.0,-17.0,2.0,3.0,-17.0,13.614,17.3,458.0,662.8,471.0,658.76,1910.0,1675.0,5.60262,11.288315367534581,4.0,473.3724409448819,657.0029296875,3.318592073026541,2.0,0.19369722483720353,1.0,0.9
5815,4.034,0.7,1.858,4.839,0.193,1.327,35.55,-13.0,-17.0,-8.0,-13.0,-17.0,-8.0,32.0,180.0,484.0,657.02,516.0,657.02,1580.0,1887.0,4.9787,13.34814476662645,4.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.9
5843,6.194,0.566,0.094,2.684,0.288,4.0,51.94,-8.0,-5.0,0.0,-8.0,-5.0,0.0,28.0,158.2,493.0,311.19,519.0,321.58,637.0,585.0,5.32609,9.48889340455861,16.0,-1.0,-1.0,-1.0,0.0,0.2589301389301259,1.0,0.9
5896,0.934,0.778,5.714,0.765,0.792,5.359,27.99,-5.0,4.0,25.0,-5.0,4.0,25.0,11.547,90.0,510.0,340.64,510.0,352.18,821.0,598.0,5.08923,14.83127196291828,16.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.8
5985,2.684,0.288,4.0,6.075,0.679,0.098,49.99,22.0,-1.0,20.0,22.0,-1.0,20.0,17.01,178.1,529.0,329.67,546.0,330.24,585.0,796.0,5.90267,8.461979049325683,16.0,520.3048368953881,328.5763113839286,7.660306390949945,2.0,0.4436961101945181,1.0,1.0
5986,0.934,0.778,5.714,6.075,0.679,0.098,44.33,-2.0,17.0,5.0,-2.0,17.0,5.0,12.49,163.9,529.0,331.98,541.0,335.44,821.0,796.0,2.67486,8.461979049325683,16.0,520.3048368953881,328.57631138392856,8.059437891635836,2.0,0.45318468884941043,1.0,1.0
6059,4.687,0.642,0.876,0.726,0.277,5.812,58.76,-18.0,18.0,-17.0,-18.0,18.0,-17.0,13.317,154.3,543.0,568.69,555.0,574.46,1396.0,1381.0,5.27226,17.196747888288954,10.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.8
6081,0.191,0.611,0.08,0.286,0.664,6.186,7.3,-12.0,-13.0,23.0,-12.0,-13.0,23.0,7.211,133.9,554.0,577.35,559.0,582.55,1409.0,1413.0,5.8843,8.898763177750968,10.0,558.3905511811023,581.5576171875,0.0,2.0,0.23242680991807158,1.0,1.0
6085,0.232,0.568,0.166,0.191,0.611,0.08,7.42,-7.0,5.0,21.0,-7.0,5.0,21.0,8.0,120.0,555.0,575.62,559.0,582.55,1403.0,1409.0,5.83129,8.898763177750968,10.0,558.3905511811023,581.5576171875,0.0,2.0,0.2379336842614013,1.0,1.0
6194,3.996,0.458,2.105,3.008,0.682,3.238,35.45,20.0,-18.0,-13.0,20.0,-18.0,-13.0,10.0,180.0,578.0,590.05,588.0,590.05,1491.0,1397.0,5.74061,12.768435252217447,10.0,-1.0,-1.0,-1.0,0.0,0.01690836233297234,1.0,0.9
6280,0.963,0.406,5.518,3.415,0.487,2.859,50.36,17.0,9.0,6.0,17.0,9.0,6.0,20.232,27.2,591.0,61.78,609.0,52.54,174.0,132.0,5.8762,8.898763177750968,18.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.9
6345,2.541,0.189,3.73,4.221,0.57,2.414,39.43,8.0,21.0,-11.0,8.0,21.0,-11.0,13.614,102.7,608.0,25.4,611.0,38.68,88.0,83.0,5.72013,9.375410366682864,18.0,612.736832895888,45.1740451388891,7.6814730554155215,2.0,0.6096407186837716,1.0,0.8
6390,1.978,0.555,4.956,4.221,0.57,2.414,52.98,1.0,-7.0,7.0,1.0,-7.0,7.0,7.211,166.1,620.0,46.19,627.0,47.92,154.0,83.0,5.71654,4.198425196850394,18.0,612.736832895888,45.17404513888891,6.596968323147499,2.0,0.6531229659901572,1.0,1.0
6393,0.963,0.406,5.518,4.429,0.163,1.486,45.01,9.0,20.0,21.0,9.0,20.0,21.0,11.719,99.8,621.0,54.85,623.0,66.4,174.0,155.0,5.77061,9.890064711306293,18.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.8
6482,0.533,0.407,5.868,4.791,0.732,1.015,40.82,-4.0,-11.0,7.0,-4.0,-11.0,7.0,12.22,169.1,646.0,230.94,658.0,233.25,480.0,386.0,5.87129,7.98227488907593,17.0,-1.0,-1.0,-1.0,0.0,0.22878543646219904,1.0,1.0
6538,4.791,0.732,1.015,0.533,0.407,5.868,40.82,-7.0,11.0,-4.0,-7.0,11.0,-4.0,43.19,174.6,666.0,234.4,709.0,238.45,386.0,480.0,5.30917,9.890064711306232,17.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
6854,4.827,0.689,1.905,1.108,0.226,4.824,55.5,6.0,7.0,7.0,6.0,7.0,7.0,17.474,13.4,751.0,1014.4,768.0,1010.36,2853.0,2695.0,5.70555,6.713910675559405,0.0,-1.0,-1.0,-1.0,0.0,0.2346654835740946,1.0,0.9
6954,0.364,0.137,5.574,4.827,0.689,1.905,58.57,-4.0,5.0,6.0,-4.0,5.0,6.0,6.11,10.9,773.0,1012.09,779.0,1010.94,2849.0,2853.0,5.66066,6.374120933631518,0.0,-1.0,-1.0,-1.0,0.0,0.3116946098014185,1.0,1.0
6977,4.827,0.689,1.905,1.108,0.226,4.824,55.5,6.0,7.0,7.0,6.0,7.0,7.0,15.011,2.2,779.0,1010.94,794.0,1010.36,2853.0,2695.0,3.5678,9.02395801241523,0.0,-1.0,-1.0,-1.0,0.0,0.03863056767726437,1.0,0.9
8531,4.477,0.509,2.105,5.245,0.655,0.339,36.12,-15.0,14.0,-21.0,-15.0,14.0,-21.0,11.719,20.2,1159.0,636.82,1170.0,632.78,1666.0,1599.0,5.83369,7.629439395397113,6.0,-1.0,-1.0,-1.0,0.0,0.37324971755745395,1.0,1.0
8651,5.245,0.655,0.339,3.371,0.745,2.7,43.8,-16.0,-15.0,-21.0,-16.0,-15.0,-21.0,18.903,77.8,1178.0,629.31,1182.0,610.84,1599.0,1589.0,5.9154,12.2253642687592,6.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,1.0
9032,5.507,0.225,0.461,0.102,0.586,6.073,28.43,-21.0,-17.0,-9.0,-21.0,-17.0,-9.0,12.0,180.0,1272.0,338.33,1284.0,338.33,750.0,865.0,5.87303,21.094673325036368,15.0,1283.668503937008,337.408203125,0.0,2.0,0.0,1.0,0.7
9072,3.385,0.553,3.187,0.102,0.586,6.073,31.7,13.0,-10.0,6.0,13.0,-10.0,6.0,9.018,56.3,1280.0,378.74,1285.0,371.24,973.0,865.0,4.45065,16.903067897656822,15.0,1286.2846868022098,368.7499125466411,2.6922574322280917,1.0,0.13049091028635645,1.0,0.8
9081,5.507,0.225,0.461,4.547,0.187,1.495,12.2,25.0,11.0,-13.0,25.0,11.0,-13.0,13.317,94.3,1283.0,325.05,1284.0,338.33,750.0,697.0,4.39395,21.094673325036368,15.0,1283.668503937008,337.408203125,0.0,2.0,0.0,1.0,0.7
9083,4.547,0.187,1.495,0.102,0.586,6.073,37.93,-23.0,-14.0,-3.0,-23.0,-14.0,-3.0,6.429,158.9,1284.0,338.33,1290.0,340.64,697.0,865.0,5.45084,16.0300799212824,15.0,1302.1194778284291,346.61826685855254,13.583302627554017,1.0,0.5102157067265373,1.0,1.0
9113,5.872,0.758,0.73,4.547,0.187,1.495,49.97,14.0,-3.0,9.0,14.0,-3.0,9.0,8.083,30.0,1290.0,340.64,1297.0,336.6,846.0,697.0,5.46268,16.0300799212824,15.0,-1.0,-1.0,-1.0,0.0,0.17132092388741668,1.0,1.0
9227,5.872,0.758,0.73,3.385,0.553,3.187,38.17,-3.0,-3.0,2.0,-3.0,-3.0,2.0,13.614,162.7,1313.0,360.84,1326.0,364.89,846.0,973.0,5.90891,19.352262466101884,15.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.8
9371,3.728,0.931,1.944,0.924,0.098,5.24,55.6,-9.0,8.0,1.0,-9.0,8.0,1.0,6.928,90.0,1.0,440.52,1.0,447.45,2012.0,2075.0,4.51123,10.238649339202087,15.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.7
9372,3.728,0.931,1.944,5.557,0.675,1.426,46.14,7.0,17.0,-18.0,7.0,17.0,-18.0,11.015,95.2,1.0,447.45,2.0,458.42,2012.0,2097.0,5.90722,3.752415191346467,15.0,-1.0,-1.0,-1.0,0.0,0.6436238326362506,1.0,0.9
9447,5.557,0.675,1.426,0.009,0.701,5.934,33.92,-21.0,-4.0,-17.0,-21.0,-4.0,-17.0,10.392,90.0,2.0,461.88,2.0,472.27,2097.0,2147.0,5.58382,6.063000401024816,15.0,-1.0,-1.0,-1.0,0.0,0.039391433893555705,1.0,0.8
9476,0.056,0.537,5.742,0.009,0.701,5.934,12.98,-21.0,-6.0,-20.0,-21.0,-6.0,-20.0,7.211,106.1,4.0,472.27,6.0,479.2,2173.0,2147.0,5.29445,2.32473739332747,14.0,5.590077227011494,480.41627225602883,1.3915970860902147,2.0,0.4879415847309441,1.0,1.0
9483,3.728,0.931,1.944,4.886,0.514,1.899,59.58,17.0,14.0,-17.0,17.0,14.0,-17.0,22.716,82.4,5.0,454.37,8.0,431.86,2012.0,2044.0,4.30492,2.078431372549005,15.0,3.7475957306338046,457.19635459817727,3.087529663248383,2.0,0.5949543198916533,1.0,1.0
9488,4.886,0.514,1.899,0.009,0.701,5.934,53.57,23.0,14.0,-8.0,23.0,14.0,-8.0,18.148,127.3,7.0,461.3,18.0,475.74,2044.0,2147.0,5.90058,4.649474786654992,15.0,3.7475957306338046,457.19635459817727,4.042575980502208,2.0,0.377015268031416,1.0,0.9
9489,3.91,0.666,2.339,0.009,0.701,5.934,50.23,13.0,-23.0,-5.0,13.0,-23.0,-5.0,12.166,25.3,7.0,480.93,18.0,475.74,2176.0,2147.0,5.8765,2.327676341924533,14.0,5.590077227011494,480.41627225602883,0.7229213355928868,2.0,0.34877725612178156,1.0,1.0
9496,3.596,0.632,2.39,4.074,0.58,2.4,28.04,-12.0,9.0,-22.0,-12.0,9.0,-22.0,12.702,150.0,11.0,487.86,22.0,494.21,2222.0,2223.0,5.04068,8.827336173782577,14.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.8
9583,0.436,0.16,6.257,1.061,0.35,5.53,15.23,-10.0,-20.0,11.0,-10.0,-20.0,11.0,26.23,7.6,37.0,381.63,63.0,378.16,1415.0,1823.0,5.91808,15.463795656577508,21.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.9
9613,4.909,0.18,0.936,2.938,0.723,3.426,53.29,-17.0,-12.0,-6.0,-17.0,-12.0,-6.0,16.042,4.1,49.0,218.82,65.0,217.66,350.0,418.0,5.72941,6.334267158401607,31.0,64.56718750000016,217.19607843137254,1.5631940186722204e-13,2.0,0.05763379240679942,1.0,1.0
9642,0.183,0.604,6.246,0.436,0.16,6.257,29.51,16.0,-3.0,-9.0,16.0,-3.0,-9.0,15.621,146.3,59.0,350.45,72.0,359.11,763.0,1415.0,5.54471,7.348674701256722,21.0,-1.0,-1.0,-1.0,0.0,0.3024516547872524,1.0,1.0
9668,2.938,0.723,3.426,4.909,0.18,0.936,53.29,17.0,-6.0,12.0,17.0,-6.0,12.0,16.0,180.0,69.0,217.66,85.0,217.66,418.0,350.0,4.92148,2.327676341924536,31.0,64.56718750000016,217.19607843137254,4.165624999999849,2.0,0.9670390320251665,1.0,1.0
9699,1.967,0.076,4.295,0.694,0.423,5.606,23.53,-26.0,-15.0,-4.0,-26.0,-15.0,-4.0,12.49,43.9,103.0,591.78,112.0,583.12,2704.0,2658.0,5.91715,18.418042391893508,10.0,113.20804148706898,581.4232589587559,2.376105457826811,2.0,0.0824330188399067,1.0,0.8
9707,3.865,0.405,1.671,0.183,0.604,6.246,48.78,7.0,9.0,9.0,7.0,9.0,9.0,42.332,160.9,80.0,361.42,120.0,375.28,1635.0,763.0,5.63878,8.126635358891235,21.0,-1.0,-1.0,-1.0,0.0,0.2340662372360767,1.0,1.0
9715,2.612,0.39,3.082,0.694,0.423,5.606,54.07,-14.0,-6.0,-15.0,-14.0,-6.0,-15.0,22.301,160.3,84.0,570.42,105.0,577.93,2498.0,2658.0,5.91184,17.654672347565075,10.0,113.20804148706898,581.4232589587559,9.76307558577484,2.0,0.37144281886359204,1.0,0.8
9749,5.974,0.687,0.169,0.713,0.423,5.637,33.14,13.0,-17.0,-3.0,13.0,-17.0,-3.0,22.301,160.3,94.0,414.54,115.0,422.04,1846.0,1952.0,5.89514,5.20703125,19.0,-1.0,-1.0,-1.0,0.0,0.3025938603706052,1.0,1.0
9767,5.949,0.312,0.341,2.612,0.39,3.082,52.64,19.0,-3.0,16.0,19.0,-3.0,16.0,24.111,174.5,102.0,546.17,126.0,548.48,2300.0,2498.0,4.85538,19.53255840061956,10.0,-1.0,-1.0,-1.0,0.0,0.37104423837453,1.0,0.6
9831,3.477,0.768,2.687,1.967,0.076,4.295,44.51,-11.0,-6.0,-2.0,-11.0,-6.0,-2.0,41.296,157.0,120.0,580.81,158.0,596.98,2471.0,2704.0,5.38496,14.880682590098289,10.0,-1.0,-1.0,-1.0,0.0,0.12307798135123756,1.0,0.9
9845,2.612,0.39,3.082,3.477,0.768,2.687,38.82,9.0,22.0,-14.0,9.0,22.0,-14.0,8.327,76.1,124.0,556.57,126.0,548.48,2498.0,2471.0,5.62354,11.858302178218159,10.0,-1.0,-1.0,-1.0,0.0,0.21052083224091223,1.0,1.0
9846,3.477,0.768,2.687,5.949,0.312,0.341,34.27,19.0,-4.0,-6.0,19.0,-4.0,-6.0,22.301,19.7,126.0,548.48,147.0,540.98,2471.0,2300.0,5.77716,19.53255840061956,10.0,-1.0,-1.0,-1.0,0.0,0.0,1.0,0.7
9866,0.263,0.778,6.18,4.615,0.46,2.274,47.39,-17.0,-6.0,-19.0,-17.0,-6.0,-19.0,6.11,130.9,130.0,423.78,134.0,428.39,1916.0,1980.0,5.0526,9.430093023043998,19.0,129.134375,422.96078431372547,0.0,2.0,0.030538476789567722,1.0,0.9
9867,0.263,0.778,6.18,5.974,0.687,0.169,24.1,5.0,19.0,8.0,5.0,19.0,8.0,21.071,55.3,130.0,423.78,142.0,406.45,1916.0,1846.0,5.69163,9.430093023043998,19.0,129.134375,422.96078431372547,0.0,2.0,0.052976805127958736,1.0,0.9
10017,2.92,0.666,3.466,2.576,0.553,2.926,44.64,-9.0,-2.0,-29.0,-9.0,-2.0,-29.0,48.222,5.5,174.0,244.8,222.0,240.18,486.0,403.0,3.76803,18.76984787477918,30.0,249.30269858067732,237.674009842981,27.58644273633329,2.0,0.7250087894431211,1.0,1.0
10192,2.592,1.07,4.22,2.92,0.666,3.466,40.71,-6.0,19.0,22.0,-6.0,19.0,22.0,21.166,40.9,225.0,283.48,241.0,269.62,554.0,486.0,4.18373,22.886451022285097,30.0,-1.0,-1.0,-1.0,0.0,0.022140390983414786,1.0,0.8
10294,2.576,0.553,2.926,5.839,0.179,0.909,45.54,-25.0,-11.0,11.0,-25.0,-11.0,11.0,11.719,80.2,250.0,230.94,252.0,219.39,403.0,412.0,3.93656,18.746887137300437,30.0,249.30269858067732,237.67400984298132,6.996983175585538,2.0,0.27291351032653377,1.0,1.0
10306,2.592,1.07,4.22,5.839,0.179,0.909,43.66,-17.0,-17.0,-15.0,-17.0,-17.0,-15.0,61.003,0.5,255.0,252.3,316.0,251.72,554.0,412.0,5.71361,15.477936511778037,30.0,-1.0,-1.0,-1.0,0.0,0.16283349337226374,1.0,1.0
10308,2.095,0.654,4.973,4.349,0.585,2.693,53.87,10.0,-18.0,17.0,10.0,-18.0,17.0,47.004,0.7,255.0,349.3,302.0,348.72,1373.0,950.0,3.69334,12.578831239316344,25.0,301.55389193587274,348.1242271257587,0.5876301167044594,2.0,0.07014057039407876,1.0,0.8
10314,3.335,0.404,3.651,2.892,0.471,3.914,13.84,-6.0,-19.0,14.0,-6.0,-19.0,14.0,7.211,166.1,257.0,553.68,264.0,555.41,2532.0,2370.0,3.80647,9.860945768452888,12.0,-1.0,-1.0,-1.0,0.0,1.0,1.0,1.0
10538,4.426,0.704,1.258,2.095,0.654,4.973,59.4,-1.0,-1.0,1.0,-1.0,-1.0,1.0,24.331,94.7,303.0,353.92,305.0,378.16,1475.0,1373.0,5.8545,10.4140625,25.0,301.55389193587274,348.12422712575875,5.228846083059767,2.0,0.5512746404007154,1.0,0.9
10590,1.296,0.362,4.992,4.349,0.585,2.693,52.27,-12.0,-11.0,10.0,-12.0,-11.0,10.0,13.317,25.7,316.0,351.03,328.0,345.26,1374.0,950.0,2.22357,4.413668086891297,25.0,310.82218911082475,352.358399029715,5.187146902810888,2.0,0.5470182967329786,1.0,1.0
10591,4.426,0.704,1.258,1.031,0.309,5.35,44.94,-19.0,19.0,-13.0,-19.0,19.0,-13.0,8.0,120.0,316.0,361.42,320.0,368.35,1475.0,1595.0,5.89411,7.917021894955398,25.0,310.82218911082475,352.358399029715,9.506240220163123,2.0,0.5425971427547136,1.0,1.0
10752,3.5,0.584,2.059,2.173,0.768,4.398,49.75,22.0,-18.0,11.0,22.0,-18.0,11.0,33.126,55.0,353.0,395.48,372.0,368.35,1447.0,1732.0,5.78736,21.885880095214866,24.0,-1.0,-1.0,-1.0,0.0,0.17074921607008736,1.0,0.6
10828,5.992,0.142,0.591,0.936,0.72,5.902,40.79,-13.0,-11.0,-5.0,-13.0,-11.0,-5.0,23.352,10.0,374.0,205.54,397.0,201.5,387.0,243.0,5.61343,6.662783376342094,32.0,396.7757812500002,200.5686274509804,1.7053025658242404e-13,2.0,0.18004305613262178,1.0,1.0
10847,0.588,0.651,5.198,2.173,0.768,4.398,43.26,-22.0,-17.0,-8.0,-22.0,-17.0,-8.0,8.0,180.0,378.0,366.04,386.0,366.04,1680.0,1732.0,5.79047,9.589654012463539,24.0,-1.0,-1.0,-1.0,0.0,0.13289036544850594,1.0,0.9
